video_id,n_comments,n_replies,reply_ratio,span_days,active_days_30
QNhdXnI8hJQ,4943,194,0.0392474205947805,345,31
mNhK05SjP9c,1894,141,0.07444561774023231,301,31
LLkWtYeGVgA,1958,270,0.13789581205311544,298,31
VNgX75IXRIg,1629,268,0.16451810926949048,215,30
wpcKyur-kbI,378,75,0.1984126984126984,197,30
wOs6kn_8SKs,2095,171,0.08162291169451073,158,31
HVmbMWUhEaw,1615,251,0.15541795665634675,133,31
2kfGs7S1e0U,1310,169,0.12900763358778625,93,31
eFtSxgZbwu4,240,72,0.3,93,22
VGGa-scpPrk,1098,155,0.14116575591985428,81,16
cCDMn01jd30,1687,133,0.07883817427385892,80,27
hrO37SOX05k,216,46,0.21296296296296297,75,24
au2MTlth520,1906,330,0.1731374606505771,68,9
A6hoKAjRpTg,2458,191,0.07770545158665582,49,17
z7TS2vg0Zdo,1713,324,0.18914185639229422,38,18
2DpmeXKZZNo,539,87,0.1614100185528757,30,31
QUOX4uWZIMY,163,86,0.5276073619631901,26,6
rL7R8Flr19w,1698,205,0.12073027090694935,22,11
H5mVkoM54Ec,324,97,0.2993827160493827,21,9
BcUsvMTuyH8,1625,288,0.17723076923076922,17,12
1bH6fo1Qq5E,1514,333,0.21994715984147953,10,10
QroJC82FVyc,534,130,0.24344569288389514,9,9
xVe6XGdctOs,1664,311,0.18689903846153846,7,8
ejFhMMPrxcI,474,182,0.38396624472573837,7,8
0_cn6t2zrnY,376,232,0.6170212765957447,7,5
EJpXL6Mmngc,263,97,0.3688212927756654,6,7
aujfxCKjGn4,173,147,0.8497109826589595,6,6
jdXIs85Ts2s,109,77,0.7064220183486238,4,5
i_lAbbmGbr4,233,139,0.5965665236051502,2,3
AkIVo_22tHo,487,102,0.20944558521560575,1,2
hayLeqAkX7I,473,134,0.2832980972515856,1,2
sunUwncV3bw,359,120,0.3342618384401114,1,2
JM1CBng2YGk,344,75,0.2180232558139535,1,2
qEyegHKgiYs,294,106,0.36054421768707484,1,2
NuFSUV9Qj_A,244,91,0.3729508196721312,1,2
X1M9NUrZjeo,207,132,0.6376811594202898,1,2
coysuZ-G2-8,138,65,0.47101449275362317,1,2
144rXJtE1gI,115,70,0.6086956521739131,1,2
9jpHnoKlJYQ,62,38,0.6129032258064516,1,2
ft9aF4O87w4,37,17,0.4594594594594595,1,2
ehnPVD6Wolw,35,18,0.5142857142857142,1,2
vvEBsZ-WQkQ,32,34,1.0625,1,2
Wn24GMmMB_4,30,4,0.13333333333333333,1,2
Qr2fHs9OYVo,10,5,0.5,1,2
riUVmxHewGE,259,71,0.27413127413127414,0,1
3eqcNBel3DU,52,58,1.1153846153846154,0,1
IIJb-qYUlQg,39,11,0.28205128205128205,0,1
eq6YgF2AiiY,7,2,0.2857142857142857,0,1
PeZY2KfPu9Q,0,0,0.0,0,0
N01gvlWr26U,0,0,0.0,0,0
